# %ECSV 1.0
# ---
# datatype:
# - {name: PROGRAM, datatype: string}
# - {name: CAP, datatype: string}
# - {name: RA, datatype: float64}
# - {name: DEC, datatype: float64}
# meta: !!omap
# - {CREADATE: '2024-08-14T14:04:13-07:00'}
# - {VERSION: v20240814}
# - {DESIFN: /global/cfs/cdirs/desi/survey/ops/surveyops/trunk/ops/tiles-main.ecsv}
# - {DESI1BFN: /global/cfs/cdirs/desi/users/raichoor/desi1b/tiles-add-dr11-20240520.ecsv}
# - {PROGRAMS: 'BRIGHT,DARK'}
# - {NPASSES: '6,9'}
# schema: astropy-2.0
PROGRAM CAP RA DEC
BRIGHT NGC 194.59 -24.092
BRIGHT NGC 194.458 -24.133
BRIGHT NGC 194.194 -24.133
BRIGHT NGC 193.711 -24.419
BRIGHT NGC 193.403 -24.706
BRIGHT NGC 193.14 -24.871
BRIGHT NGC 192.832 -24.994
BRIGHT NGC 192.568 -25.077
BRIGHT NGC 192.48 -25.077
BRIGHT NGC 192.129 -25.077
BRIGHT NGC 191.821 -25.035
BRIGHT NGC 191.558 -24.953
BRIGHT NGC 191.25 -24.747
BRIGHT NGC 190.942 -24.542
BRIGHT NGC 190.371 -24.583
BRIGHT NGC 190.063 -24.706
BRIGHT NGC 189.844 -24.747
BRIGHT NGC 189.492 -24.747
BRIGHT NGC 189.316 -24.747
BRIGHT NGC 188.877 -24.83
BRIGHT NGC 188.569 -24.871
BRIGHT NGC 188.262 -24.912
BRIGHT NGC 188.086 -24.912
BRIGHT NGC 187.866 -24.871
BRIGHT NGC 187.603 -24.789
BRIGHT NGC 187.207 -24.583
BRIGHT NGC 187.031 -24.419
BRIGHT NGC 186.46 -24.215
BRIGHT NGC 186.24 -24.256
BRIGHT NGC 185.889 -24.256
BRIGHT NGC 185.581 -24.296
BRIGHT NGC 185.229 -24.46
BRIGHT NGC 184.966 -24.542
BRIGHT NGC 184.614 -24.542
BRIGHT NGC 184.438 -24.542
BRIGHT NGC 184.219 -24.501
BRIGHT NGC 183.955 -24.419
BRIGHT NGC 183.428 -24.501
BRIGHT NGC 183.12 -24.624
BRIGHT NGC 182.769 -24.706
BRIGHT NGC 182.461 -24.747
BRIGHT NGC 182.373 -24.747
BRIGHT NGC 181.802 -24.871
BRIGHT NGC 181.45 -24.953
BRIGHT NGC 181.143 -24.994
BRIGHT NGC 180.879 -24.994
BRIGHT NGC 180.791 -24.994
BRIGHT NGC 180.396 -24.871
BRIGHT NGC 179.912 -24.83
BRIGHT NGC 179.561 -24.994
BRIGHT NGC 179.253 -25.118
BRIGHT NGC 178.857 -25.159
BRIGHT NGC 178.55 -25.118
BRIGHT NGC 178.462 -25.118
BRIGHT NGC 178.198 -25.035
BRIGHT NGC 177.671 -24.871
BRIGHT NGC 177.319 -24.953
BRIGHT NGC 177.056 -24.953
BRIGHT NGC 176.88 -24.953
BRIGHT NGC 176.66 -24.912
BRIGHT NGC 176.353 -24.789
BRIGHT NGC 176.089 -24.624
BRIGHT NGC 175.825 -24.378
BRIGHT NGC 175.605 -24.174
BRIGHT NGC 175.078 -23.929
BRIGHT NGC 174.946 -23.888
BRIGHT NGC 174.683 -23.806
BRIGHT NGC 174.243 -23.643
BRIGHT NGC 173.892 -23.725
BRIGHT NGC 173.496 -23.766
BRIGHT NGC 173.188 -23.725
BRIGHT NGC 172.969 -23.684
BRIGHT NGC 172.617 -23.603
BRIGHT NGC 171.826 -24.583
BRIGHT NGC 171.343 -24.871
BRIGHT NGC 170.991 -24.953
BRIGHT NGC 170.684 -24.994
BRIGHT NGC 170.288 -24.953
BRIGHT NGC 170.024 -24.871
BRIGHT NGC 169.849 -24.789
BRIGHT NGC 169.321 -24.789
BRIGHT NGC 168.926 -24.83
BRIGHT NGC 168.618 -24.789
BRIGHT NGC 168.354 -24.706
BRIGHT NGC 168.223 -24.665
BRIGHT NGC 168.003 -24.542
BRIGHT NGC 167.3 -24.542
BRIGHT NGC 166.948 -24.542
BRIGHT NGC 166.641 -24.501
BRIGHT NGC 166.509 -24.46
BRIGHT NGC 166.069 -24.296
BRIGHT NGC 165.63 -24.378
BRIGHT NGC 165.278 -24.378
BRIGHT NGC 164.927 -24.296
BRIGHT NGC 164.619 -24.174
BRIGHT NGC 164.575 -24.133
BRIGHT NGC 163.916 -24.092
BRIGHT NGC 163.521 -24.133
BRIGHT NGC 163.213 -24.092
BRIGHT NGC 162.861 -24.01
BRIGHT NGC 162.51 -23.929
BRIGHT NGC 162.07 -24.01
BRIGHT NGC 161.719 -24.01
BRIGHT NGC 161.411 -23.969
BRIGHT NGC 161.147 -23.888
BRIGHT NGC 160.972 -23.806
BRIGHT NGC 159.741 -24.542
BRIGHT NGC 159.17 -24.747
BRIGHT NGC 158.774 -24.789
BRIGHT NGC 158.379 -24.747
BRIGHT NGC 157.852 -24.912
BRIGHT NGC 157.28 -25.118
BRIGHT NGC 156.841 -25.118
BRIGHT NGC 156.445 -25.077
BRIGHT NGC 156.182 -24.994
BRIGHT NGC 156.006 -24.912
BRIGHT NGC 155.391 -24.83
BRIGHT NGC 155.039 -24.83
BRIGHT NGC 154.644 -24.706
BRIGHT NGC 154.292 -24.542
BRIGHT NGC 154.028 -24.378
BRIGHT NGC 153.457 -24.501
BRIGHT NGC 153.105 -24.501
BRIGHT NGC 152.534 -24.542
BRIGHT NGC 151.919 -24.706
BRIGHT NGC 151.479 -24.706
BRIGHT NGC 151.128 -24.624
BRIGHT NGC 150.864 -24.542
BRIGHT NGC 150.601 -24.378
BRIGHT NGC 149.854 -24.419
BRIGHT NGC 149.019 -24.871
BRIGHT NGC 148.491 -24.871
BRIGHT NGC 148.096 -24.83
BRIGHT NGC 147.788 -24.706
BRIGHT NGC 147.568 -24.583
BRIGHT NGC 147.393 -24.419
BRIGHT NGC 147.129 -24.174
BRIGHT NGC 146.997 -23.888
BRIGHT NGC 145.459 -24.419
BRIGHT NGC 144.976 -24.46
BRIGHT NGC 144.58 -24.419
BRIGHT NGC 144.053 -24.337
BRIGHT NGC 143.306 -24.542
BRIGHT NGC 142.822 -24.501
BRIGHT NGC 142.427 -24.378
BRIGHT NGC 142.075 -24.215
BRIGHT NGC 141.812 -23.969
BRIGHT NGC 141.636 -23.806
BRIGHT NGC 141.152 -23.603
BRIGHT NGC 140.757 -23.481
BRIGHT NGC 140.449 -23.277
BRIGHT NGC 140.229 -23.074
BRIGHT NGC 139.922 -22.872
BRIGHT NGC 139.658 -22.629
BRIGHT NGC 139.614 -22.589
BRIGHT NGC 139.395 -22.226
BRIGHT NGC 139.263 -21.863
BRIGHT NGC 139.263 -21.542
BRIGHT NGC 139.175 -20.822
BRIGHT NGC 139.087 -20.742
BRIGHT NGC 138.516 -20.463
BRIGHT NGC 138.12 -20.344
BRIGHT NGC 137.812 -20.145
BRIGHT NGC 137.549 -19.907
BRIGHT NGC 137.373 -19.748
BRIGHT NGC 137.285 -19.59
BRIGHT NGC 136.714 -19.234
BRIGHT NGC 136.406 -19.037
BRIGHT NGC 136.143 -18.8
BRIGHT NGC 136.055 -18.721
BRIGHT NGC 135.879 -18.406
BRIGHT NGC 135.747 -18.053
BRIGHT NGC 135.747 -17.739
BRIGHT NGC 135.396 -17.192
BRIGHT NGC 135.176 -16.997
BRIGHT NGC 134.912 -16.763
BRIGHT NGC 134.824 -16.607
BRIGHT NGC 134.692 -16.335
BRIGHT NGC 134.648 -15.985
BRIGHT NGC 134.648 -15.598
BRIGHT NGC 134.429 -15.249
BRIGHT NGC 134.297 -14.979
BRIGHT NGC 134.209 -14.67
BRIGHT NGC 133.813 -14.17
BRIGHT NGC 133.506 -13.977
BRIGHT NGC 133.242 -13.747
BRIGHT NGC 133.11 -13.632
BRIGHT NGC 132.935 -13.325
BRIGHT NGC 132.891 -13.133
BRIGHT NGC 132.583 -12.559
BRIGHT NGC 132.275 -12.368
BRIGHT NGC 132.012 -12.139
BRIGHT NGC 131.88 -11.948
BRIGHT NGC 131.44 -11.72
BRIGHT NGC 131.089 -11.567
BRIGHT NGC 130.693 -11.377
BRIGHT NGC 130.562 -11.263
BRIGHT NGC 130.342 -10.997
BRIGHT NGC 130.254 -10.845
BRIGHT NGC 130.122 -10.503
BRIGHT NGC 130.078 -10.162
BRIGHT NGC 130.122 -9.67
BRIGHT NGC 130.122 -9.065
BRIGHT NGC 130.034 -8.914
BRIGHT NGC 129.902 -8.65
BRIGHT NGC 129.858 -8.31
BRIGHT NGC 129.858 -7.933
BRIGHT NGC 129.463 -7.444
BRIGHT NGC 129.111 -7.218
BRIGHT NGC 128.848 -6.993
BRIGHT NGC 128.32 -6.918
BRIGHT NGC 127.969 -6.767
BRIGHT NGC 127.705 -6.542
BRIGHT NGC 127.485 -6.354
BRIGHT NGC 127.31 -6.054
